patient_id,nhs_number,first_name,last_name,dob,age,sex,address,city,county,postcode,phone,gp_practice,registered_date
p001,181 960 0133,Mohammed,Hughes,1986-02-07,40,M,36 School Lane,Liverpool,Merseyside,L1 1AB,07642621108,Croydon Health Centre,2017-03-25
p002,654 235 1161,Grace,Roberts,1984-05-29,42,F,195 Church Lane,Cardiff,South Glamorgan,CF10 1AB,07485451171,Camden Health Centre,2017-12-19
p003,495 931 0341,Robert,Singh,1941-12-01,84,M,21 Station Rd,Manchester,Greater Manchester,M1 1AE,07349957310,Croydon Health Centre,2019-04-06
p004,419 283 2764,Chloe,Johnson,1990-11-23,35,F,91 Park Rd,Bristol,Avon,BS1 1AB,07787194506,Greenwich Health Centre,2018-08-21
p005,139 537 6724,Thomas,Mahmood,1949-12-31,76,M,103 Victoria Rd,London,Greater London,SW1A 1AA,07249926919,Greenwich Health Centre,2017-12-12
p006,101 226 9166,Sarah,Evans,1987-03-23,39,F,131 Mill Lane,Bristol,Avon,BS1 1AB,07739830322,Hackney Health Centre,2020-12-07
p007,451 462 7048,Hannah,Begum,1958-04-11,68,F,175 Station Rd,London,Greater London,SW1A 1AA,07918150683,Greenwich Health Centre,2020-09-10
p008,528 809 5701,Charles,Wilson,1968-07-29,57,M,51 Church Lane,Sheffield,South Yorkshire,S1 1AB,07489747629,Camden Health Centre,2017-09-07
p009,718 227 8248,Thomas,Shah,1941-05-03,85,M,22 School Lane,Cardiff,South Glamorgan,CF10 1AB,07751325257,Hackney Health Centre,2017-05-17
p010,713 315 0983,Arjun,Evans,1959-11-29,66,M,113 Station Rd,Sheffield,South Yorkshire,S1 1AB,07731832764,Greenwich Health Centre,2015-01-30
p011,834 738 2997,Charles,Whitcombe,1997-05-13,29,M,85 High St,Leeds,West Yorkshire,LS1 1AB,07360916298,Hackney Health Centre,2019-07-26
p012,701 065 1333,James,Ramanathan,1973-12-05,52,M,109 King St,Sheffield,South Yorkshire,S1 1AB,07675832441,Hackney Health Centre,2016-07-28
p013,108 013 2677,Charlotte,Brown,1986-04-24,40,F,114 Station Rd,Glasgow,Lanarkshire,G1 1AB,07329509408,Hackney Health Centre,2015-08-29
p014,872 343 0980,Michael,Al-Rashidi,1984-10-12,41,M,74 King St,Croydon,Greater London,CR0 1AB,07903132646,Camden Health Centre,2015-08-23
p015,812 191 3619,Noah,Walker,1942-09-14,83,M,41 Oxford St,Edinburgh,Lothian,EH1 1AB,07364371717,Croydon Health Centre,2015-12-02
p016,534 624 7510,Elizabeth,Ahmed,1967-12-27,58,F,67 Park Rd,Cardiff,South Glamorgan,CF10 1AB,07592080329,Croydon Health Centre,2015-10-28
p017,542 784 9808,Hassan,Brown,1941-12-16,84,M,18 Park Rd,Birmingham,West Midlands,B1 1HQ,07421455482,Croydon Health Centre,2016-07-04
p018,493 534 8740,Emma,Shah,1953-08-30,72,F,40 Victoria Rd,Manchester,Greater Manchester,M1 1AE,07199104722,Hackney Health Centre,2018-02-07
p019,786 801 1280,Mohammed,Taylor,1961-01-24,65,M,42 School Lane,Birmingham,West Midlands,B1 1HQ,07996139578,Camden Health Centre,2016-08-29
p020,315 869 2322,Sophie,Whitcombe,1978-05-14,48,F,92 Park Rd,Liverpool,Merseyside,L1 1AB,07542697755,Croydon Health Centre,2017-01-04
p021,160 733 7543,Ella,Carter,1946-02-04,80,F,69 Church Lane,Sheffield,South Yorkshire,S1 1AB,07339362341,Croydon Health Centre,2017-03-02
p022,868 501 4294,Ava,Brown,1952-01-19,74,F,90 Manor Rd,Manchester,Greater Manchester,M1 1AE,07141078352,Croydon Health Centre,2019-11-15
p023,340 608 8356,Ava,Thomas,1969-04-07,57,F,99 New Rd,Cardiff,South Glamorgan,CF10 1AB,07175133802,Camden Health Centre,2018-07-09
p024,482 366 2994,Arjun,Khan,1958-11-11,67,M,84 King St,Liverpool,Merseyside,L1 1AB,07536019893,Croydon Health Centre,2018-05-29
p025,773 872 1489,Lily,Thomas,1962-07-07,63,F,83 Mill Lane,Cardiff,South Glamorgan,CF10 1AB,07459905654,Croydon Health Centre,2017-08-20
p026,791 769 3676,Grace,Carter,1992-05-18,34,F,12 Park Rd,Leeds,West Yorkshire,LS1 1AB,07361976301,Greenwich Health Centre,2015-01-23
p027,083 172 7889,John,Smith,1949-06-19,76,M,133 Mill Lane,Birmingham,West Midlands,B1 1HQ,07440696084,Hackney Health Centre,2020-08-29
p028,348 734 7143,Hannah,Roberts,1953-10-09,72,F,116 Victoria Rd,Birmingham,West Midlands,B1 1HQ,07391751878,Camden Health Centre,2018-08-02
p029,316 658 7603,Oliver,Henshaw,1976-06-13,49,M,40 School Lane,Leeds,West Yorkshire,LS1 1AB,07994310083,Hackney Health Centre,2019-05-15
p030,688 937 3467,Noah,Evans,2000-11-29,25,M,77 King St,Glasgow,Lanarkshire,G1 1AB,07131165166,Hackney Health Centre,2018-10-08
p031,069 901 6272,Charlotte,Mahmood,1943-04-08,83,F,160 Station Rd,Glasgow,Lanarkshire,G1 1AB,07153992714,Camden Health Centre,2019-04-02
p032,417 080 5310,Lily,Roberts,1979-11-21,46,F,72 King St,Bristol,Avon,BS1 1AB,07909851739,Croydon Health Centre,2017-10-09
p033,193 745 2991,Mohammed,Hussain,1986-03-29,40,M,122 Manor Rd,Birmingham,West Midlands,B1 1HQ,07935147672,Greenwich Health Centre,2018-06-28
p034,319 314 9190,Noah,Al-Rashidi,1964-06-25,61,M,97 King St,Liverpool,Merseyside,L1 1AB,07472807202,Hackney Health Centre,2019-02-26
p035,657 262 8498,Hassan,Johnson,2000-10-25,25,M,126 High St,Bristol,Avon,BS1 1AB,07931764920,Hackney Health Centre,2020-03-19
p036,737 996 5075,Sarah,Brown,1947-02-06,79,F,23 Victoria Rd,Bristol,Avon,BS1 1AB,07295249057,Hackney Health Centre,2017-05-18
